frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,209,359.9913330078125 737.8412475585938 723.4453125 1056.1279296875,494.64935302734375 959.4131469726562 597.7781982421875 993.2583618164062,0.4339714050292969,CE61WYL,0.45824906259622183
1,209,353.88386811581324 740.737583312218 722.7170321754256 1063.3648533312848,497.023681640625 961.7940673828125 593.2831726074219 998.230224609375,0,0,0
2,209,347.77640322381404 743.6339190658423 721.9887518508513 1070.6017769750697,499.39801025390625 964.1749877929688 588.7881469726562 1003.2020874023438,0.6843198537826538,CE61WYL,0.2908170324212459
3,209,346.6728938707197 745.3667774183766 721.1663270627125 1072.6479292516526,491.8133239746094 966.1688232421875 593.2760620117188 1003.1466064453125,0.731637179851532,CE61UYL,0.39773725458812853
4,209,347.43908050009884 747.1390702360803 720.5306078084477 1073.1187268973904,492.10194396972656 969.5516967773438 591.0993041992188 1006.7838134765625,0,0,0
5,209,348.20526712947793 748.911363053784 719.8948885541829 1073.5895245431282,492.39056396484375 972.9345703125 588.9225463867188 1010.4210205078125,0.7447322607040405,CE61CYL,0.44269476572346766
6,209,349.0749885734745 750.6250141832253 719.4336872429017 1073.45482041976,495.4053955078125 976.5375366210938 589.9885864257812 1012.8524780273438,0.6485872268676758,CE61NYL,0.08089305005093125
7,209,346.6671001615054 753.0404219909292 716.6695378183774 1073.1157795250354,492.28271484375 979.3566284179688 593.9089965820312 1016.6900024414062,0.7511369585990906,CE61NYL,0.2711530965726292
8,209,345.25513562214485 755.854715559085 714.5534932739221 1073.205288580058,487.9470520019531 982.1079711914062 588.9057006835938 1016.8427124023438,0.7870175838470459,CE51MYL,0.29526869487480006
9,209,344.8069709847818 757.6664733754347 713.7386909330169 1072.8780505202283,486.890625 983.5049438476562 589.5054931640625 1018.2047119140625,0.7013646960258484,CE51MYI,0.11585310562538285
10,209,338.53586537289095 758.9978176967095 711.3049588274121 1072.6394745539235,483.0271911621094 987.4498291015625 588.5390625 1022.9798583984375,0,0,0
11,209,332.26475976100016 760.3291620179841 708.8712267218074 1072.4008985876187,479.16375732421875 991.3947143554688 587.5726318359375 1027.7550048828125,0.7686581015586853,CE51MYL,0.8510631848303686
12,209,329.00395324998124 762.1826037836212 708.4007109041252 1072.5195201231954,479.88800048828125 994.1846923828125 588.3316650390625 1033.1608276367188,0,0,0
13,209,325.74314673896225 764.0360455492582 707.9301950864428 1072.638141658772,480.61224365234375 996.9746704101562 589.0906982421875 1038.566650390625,0.6426251530647278,CE61LYL,0.7945643893347195
14,209,327.2316009269393 767.0666409950519 708.8843653471871 1073.6265059615034,478.4948323567708 1001.1068115234375 587.6104939778646 1041.1912434895833,0,0,0
15,209,328.72005511491625 770.0972364408457 709.8385356079314 1074.614870264235,476.37742106119794 1005.2389526367188 586.1302897135416 1043.8158365885417,0,0,0
16,209,330.2085093028933 773.1278318866393 710.7927058686756 1075.6032345669664,474.260009765625 1009.37109375 584.6500854492188 1046.4404296875,0.80814528465271,CE61LYL,0.34904334833062184
17,209,327.87281079961986 776.7255110405556 708.6102006969163 1076.2892287762832,475.181396484375 1014.2567138671875 580.5715942382812 1051.1971435546875,0.6818874478340149,CE61MYL,0.2040749084182126
18,209,323.3105892317599 778.8166418956192 705.831509781073 1075.9837295451757,475.0144958496094 1014.0313110351562 586.6104736328125 1053.9083251953125,0.7927689552307129,CE61WYL,0.3065459592470361
19,209,316.2902890862391 781.4532832703948 703.1784301639607 1076.05342266148,472.904296875 1018.2588500976562 579.810791015625 1054.596435546875,0.6981517672538757,CE61MYL,0.6658998999053501
20,209,318.7222830512636 783.776823806934 705.9492117188541 1075.6960047651453,472.16851806640625 1020.6009521484375 573.7642211914062 1062.7056884765625,0.6226575374603271,CE61LYL,0.3829650459748416
21,209,315.5674576868213 786.0490482087675 705.2605608496292 1075.2709629511112,472.40185546875 1024.248779296875 577.498779296875 1066.078857421875,0.6478970050811768,CE61WYL,0.5224633667540837
22,209,315.893684774304 789.3355785461664 705.1156067851381 1076.0456443455491,473.2923889160156 1029.464111328125 574.5755004882812 1065.681640625,0.7222135066986084,CE61CYL,0.1533862086420358
23,209,308.67975774763306 792.2631751037276 702.8674950228014 1076.332986172593,470.9248352050781 1033.087158203125 572.2445068359375 1068.8576253255208,0,0,0
24,209,301.4658307209621 795.1907716612889 700.6193832604647 1076.6203279996373,468.5572814941406 1036.710205078125 569.9135131835938 1072.0336100260417,0,0,0
25,209,294.2519036942912 798.11836821885 698.3712714981281 1076.9076698266813,466.1897277832031 1040.333251953125 567.58251953125 1075.2095947265625,0.7340514659881592,CE61IYL,0.19481689993454235
14,213,1121.792872818932 502.4068733186866 1351.3778863616428 685.0390458516647,1198.14990234375 596.6438598632812 1287.0684814453125 650.2022094726562,0.8552751541137695,SO55DVP,0.05098152219247622
15,213,1122.35587259351 503.72767522307555 1351.9438131321192 686.0785639489692,1198.1566975911458 598.4737243652344 1287.4524536132812 651.5416870117188,0,0,0
16,213,1122.918872368088 505.0484771274645 1352.5097399025958 687.1180820462737,1198.1634928385417 600.3035888671875 1287.83642578125 652.8811645507812,0,0,0
17,213,1123.481872142666 506.3692790318534 1353.0756666730722 688.1576001435783,1198.1702880859375 602.1334533691406 1288.2203979492188 654.2206420898438,0,0,0
