frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,103.0,[359.9913330078125 737.8412475585938 723.4453125 1056.1279296875],[494.64935302734375 959.4131469726562 597.7781982421875 993.2583618164062],0.4339714050292969,CE61WYL,0.45824906259622183
2,103.0,[347.77640322381404 743.6339190658423 721.9887518508513 1070.6017769750697],[499.39801025390625 964.1749877929688 588.7881469726562 1003.2020874023438],0.6843198537826538,CE61WYL,0.2908170324212459
3,103.0,[346.6728938707197 745.3667774183766 721.1663270627125 1072.6479292516526],[491.8133239746094 966.1688232421875 593.2760620117188 1003.1466064453125],0.731637179851532,CE61UYL,0.39773725458812853
5,103.0,[348.20526712947793 748.911363053784 719.8948885541829 1073.5895245431282],[492.39056396484375 972.9345703125 588.9225463867188 1010.4210205078125],0.7447322607040405,CE61CYL,0.44269476572346766
6,103.0,[349.0749885734745 750.6250141832253 719.4336872429017 1073.45482041976],[495.4053955078125 976.5375366210938 589.9885864257812 1012.8524780273438],0.6485872268676758,CE61NYL,0.08089305005093125
7,103.0,[346.6671001615054 753.0404219909292 716.6695378183774 1073.1157795250354],[492.28271484375 979.3566284179688 593.9089965820312 1016.6900024414062],0.7511369585990906,CE61NYL,0.2711530965726292
8,103.0,[345.25513562214485 755.854715559085 714.5534932739221 1073.205288580058],[487.9470520019531 982.1079711914062 588.9057006835938 1016.8427124023438],0.7870175838470459,CE51MYL,0.29526869487480006
9,103.0,[344.8069709847818 757.6664733754347 713.7386909330169 1072.8780505202283],[486.890625 983.5049438476562 589.5054931640625 1018.2047119140625],0.7013646960258484,CE51MYI,0.11585310562538285
11,103.0,[332.26475976100016 760.3291620179841 708.8712267218074 1072.4008985876187],[479.16375732421875 991.3947143554688 587.5726318359375 1027.7550048828125],0.7686581015586853,CE51MYL,0.8510631848303686
13,103.0,[325.74314673896225 764.0360455492582 707.9301950864428 1072.638141658772],[480.61224365234375 996.9746704101562 589.0906982421875 1038.566650390625],0.6426251530647278,CE61LYL,0.7945643893347195
14,107.0,[1121.792872818932 502.4068733186866 1351.3778863616428 685.0390458516647],[1198.14990234375 596.6438598632812 1287.0684814453125 650.2022094726562],0.8552751541137695,SO55DVP,0.05098152219247622
16,103.0,[330.2085093028933 773.1278318866393 710.7927058686756 1075.6032345669664],[474.260009765625 1009.37109375 584.6500854492188 1046.4404296875],0.80814528465271,CE61LYL,0.34904334833062184
17,103.0,[327.87281079961986 776.7255110405556 708.6102006969163 1076.2892287762832],[475.181396484375 1014.2567138671875 580.5715942382812 1051.1971435546875],0.6818874478340149,CE61MYL,0.2040749084182126
18,103.0,[323.3105892317599 778.8166418956192 705.831509781073 1075.9837295451757],[475.0144958496094 1014.0313110351562 586.6104736328125 1053.9083251953125],0.7927689552307129,CE61WYL,0.3065459592470361
19,103.0,[316.2902890862391 781.4532832703948 703.1784301639607 1076.05342266148],[472.904296875 1018.2588500976562 579.810791015625 1054.596435546875],0.6981517672538757,CE61MYL,0.6658998999053501
20,107.0,[1125.1708714663998 510.3316847450202 1354.7734469845016 691.2761544354918],[1198.190673828125 607.623046875 1289.372314453125 658.2390747070312],0.664174497127533,SO55DYP,0.16670149903577552
20,103.0,[318.7222830512636 783.776823806934 705.9492117188541 1075.6960047651453],[472.16851806640625 1020.6009521484375 573.7642211914062 1062.7056884765625],0.6226575374603271,CE61LYL,0.3829650459748416
21,103.0,[315.5674576868213 786.0490482087675 705.2605608496292 1075.2709629511112],[472.40185546875 1024.248779296875 577.498779296875 1066.078857421875],0.6478970050811768,CE61WYL,0.5224633667540837
22,103.0,[315.893684774304 789.3355785461664 705.1156067851381 1076.0456443455491],[473.2923889160156 1029.464111328125 574.5755004882812 1065.681640625],0.7222135066986084,CE61CYL,0.1533862086420358
